Question,A,B,C,D,Answer,Explanation
"Who is known as the father of modern physics?","Newton","Einstein","Galileo","Curie","B","Albert Einstein is known as the father of modern physics."
"What is the smallest country in the world?","Vatican City","Monaco","Malta","Liechtenstein","A","Vatican City is the smallest country in the world."
"What is the main language spoken in Egypt?","Arabic","English","French","Spanish","A","Arabic is the main language spoken in Egypt."
"Which is the largest continent?","Africa","Antarctica","Asia","Europe","C","Asia is the largest continent."
"What is the powerhouse of the cell?","Nucleus","Mitochondria","Ribosome","Endoplasmic Reticulum","B","Mitochondria is known as the powerhouse of the cell."
"Which planet is known for its rings?","Earth","Mars","Saturn","Jupiter","C","Saturn is known for its prominent rings."
"What is the hottest planet in our solar system?","Venus","Mercury","Mars","Jupiter","A","Venus is the hottest planet in our solar system."
"What is the capital of Australia?","Sydney","Canberra","Melbourne","Brisbane","B","Canberra is the capital city of Australia."
"What gas do plants absorb?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen","C","Plants absorb carbon dioxide during photosynthesis."
"What is the hardest rock?","Basalt","Schist","Diamond","Granite","C","Diamond is considered the hardest rock."
"What is the main organ of the circulatory system?","Heart","Lungs","Brain","Liver","A","The heart is the main organ of the circulatory system."
"Who wrote 'Pride and Prejudice'?","Jane Austen","Emily Bronte","Charlotte Bronte","Mary Shelley","A","Jane Austen wrote 'Pride and Prejudice.'"
"What is the capital of Canada?","Toronto","Ottawa","Vancouver","Montreal","B","Ottawa is the capital city of Canada."
"Which is the largest mammal?","Elephant","Blue Whale","Giraffe","Great White Shark","B","The blue whale is the largest mammal."
"What is the opposite of 'hot'?","Cold","Warm","Numb","Cool","A","The opposite of 'hot' is 'cold.'"
"What is the formula for calculating the area of a circle?","πr^2","2πr","2r","πd","A","The area of a circle is calculated using the formula πr^2."
"What is the largest land animal?","Hippopotamus","Giraffe","Elephant","Rhino","C","The elephant is the largest land animal."
"Who painted 'The Starry Night'?","Monet","Van Gogh","Picasso","Dali","B","Vincent van Gogh painted 'The Starry Night.'"
"What type of animal is a frog?","Reptile","Mammal","Amphibian","Bird","C","A frog is classified as an amphibian."
"What is the chemical symbol for silver?","Si","Ag","Au","Pb","B","Ag is the chemical symbol for silver."
"Which country is known as the land of the rising sun?","China","Japan","South Korea","Thailand","B","Japan is known as the land of the rising sun."
"What is the largest desert in the world?","Sahara","Arabian","Gobi","Antarctic","D","The Antarctic Desert is the largest desert in the world."
"Who was the first president of the United States?","George Washington","Abraham Lincoln","Thomas Jefferson","John Adams","A","George Washington was the first president of the United States."
"What is the primary function of the lungs?","Digestion","Circulation","Respiration","Reproduction","C","The primary function of the lungs is respiration."
"What is the capital of Russia?","Moscow","St. Petersburg","Kiev","Novosibirsk","A","Moscow is the capital city of Russia."
"What type of energy is stored in food?","Nuclear","Chemical","Mechanical","Thermal","B","The energy stored in food is chemical energy."
"What is the tallest mountain in the world?","K2","Kangchenjunga","Everest","Makalu","C","Mount Everest is the tallest mountain in the world."
"What is the human body's largest organ?","Heart","Skin","Liver","Lung","B","The skin is the largest organ of the human body."
"Which planet has the most moons?","Earth","Jupiter","Mars","Saturn","B","Jupiter has the most moons of any planet in the solar system."
"Who invented the telephone?","Edison","Bell","Tesla","Marconi","B","Alexander Graham Bell invented the telephone."
"What is the speed of light?","300,000 km/s","150,000 km/s","450,000 km/s","500,000 km/s","A","The speed of light is approximately 300,000 km/s."
"What is the longest bone in the human body?","Humerus","Femur","Tibia","Fibula","B","The femur is the longest bone in the human body."
"What is the primary component of the sun?","Helium","Hydrogen","Oxygen","Carbon","B","Hydrogen is the primary component of the sun."
"Who was the first man to walk on the moon?","Buzz Aldrin","Neil Armstrong","Yuri Gagarin","John Glenn","B","Neil Armstrong was the first man to walk on the moon."
"What is the boiling point of water in Fahrenheit?","100°F","150°F","212°F","180°F","C","Water boils at 212°F at standard atmospheric pressure."
"What is a baby kangaroo called?","Cub","Joey","Pup","Calf","B","A baby kangaroo is called a joey."
"What is the main language spoken in China?","Mandarin","Cantonese","English","Spanish","A","Mandarin is the main language spoken in China."
"What is the capital of Germany?","Berlin","Munich","Frankfurt","Hamburg","A","Berlin is the capital city of Germany."
"Which is the largest planet in our solar system?","Earth","Saturn","Jupiter","Neptune","C","Jupiter is the largest planet in our solar system."
"What is the main ingredient of hummus?","Chickpeas","Lentils","Peas","Beans","A","Chickpeas are the main ingredient in hummus."
"What is the most spoken language in the world?","English","Mandarin","Spanish","Hindi","B","Mandarin is the most spoken language in the world."
"Which vitamin is produced when a person is exposed to sunlight?","Vitamin A","Vitamin C","Vitamin D","Vitamin B12","C","Vitamin D is produced with sunlight exposure."
"What is the primary color of the sun?","Red","Yellow","Blue","Green","B","The primary color of the sun is yellow."
"What is the capital of Kenya?","Nairobi","Mombasa","Dodoma","Kampala","A","Nairobi is the capital city of Kenya."
"How many continents are there on Earth?","5","6","7","8","C","There are 7 continents on Earth."
"What is the fastest land animal?","Cheetah","Lion","Horse","Gazelle","A","The cheetah is the fastest land animal."
"What is Newton's first law of motion?","Force equals mass times acceleration","An object at rest stays at rest","For every action, there is an equal and opposite reaction","Energy cannot be created or destroyed","B","Newton's first law states that an object at rest stays at rest unless acted upon by an external force."
"What is the process by which plants make their own food?","Photosynthesis","Respiration","Digestion","Fermentation","A","Photosynthesis is the process by which plants make their own food."
"Who wrote 'The Great Gatsby'?","F. Scott Fitzgerald","Mark Twain","Ernest Hemingway","John Steinbeck","A","F. Scott Fitzgerald wrote 'The Great Gatsby.'"
"How many teeth does an adult human have?","28","30","32","34","C","An adult human typically has 32 teeth."
"Which element is essential for the formation of bones?","Iron","Calcium","Potassium","Magnesium","B","Calcium is essential for bone formation."
"What is the capital of Argentina?","Santiago","Buenos Aires","Brasilia","Montevideo","B","Buenos Aires is the capital city of Argentina."
"What is the primary component of the air we breathe?","Oxygen","Nitrogen","Carbon Dioxide","Argon","B","Nitrogen makes up about 78% of the air we breathe."
"What is the distance around a circle called?","Area","Diameter","Circumference","Radius","C","The distance around a circle is called its circumference."
"What is the capital of India?","Delhi","Mumbai","Kolkata","Bangalore","A","Delhi is the capital city of India."
"What is the main purpose of the roots of a plant?","Photosynthesis","Absorb water and nutrients","Flowering","Support the plant","B","The main purpose of a plant's roots is to absorb water and nutrients."
"What is the most abundant element in the universe?","Oxygen","Hydrogen","Carbon","Helium","B","Hydrogen is the most abundant element in the universe."
"What is the formula for the area of a triangle?","1/2 * base * height","base * height","base^2 * height","2 * base * height","A","The area of a triangle is calculated using 1/2 * base * height."
"What is the capital of Sweden?","Copenhagen","Oslo","Stockholm","Helsinki","C","Stockholm is the capital city of Sweden."
"Who invented the light bulb?","Edison","Tesla","Bell","Newton","A","Thomas Edison is credited with inventing the light bulb."
"What is the main ingredient in bread?","Flour","Sugar","Salt","Yeast","A","Flour is the main ingredient in bread."
"How many planets are in our solar system?","8","9","7","6","A","There are 8 recognized planets in our solar system."
"Who composed the Four Seasons?","Bach","Mozart","Vivaldi","Beethoven","C","Antonio Vivaldi composed the Four Seasons."
"What is the capital of South Korea?","Seoul","Busan","Incheon","Daegu","A","Seoul is the capital city of South Korea."
"What is the main function of the spleen?","Digestion","Blood filtration","Respiration","Energy storage","B","The spleen's main function is blood filtration."
"What is the formula for calculating the volume of a cube?","side^3","side^2","6 * side^2","4/3 * π * radius^3","A","The volume of a cube is calculated using side^3."
"What is the smallest planet in our solar system?","Mars","Earth","Mercury","Venus","C","Mercury is the smallest planet in our solar system."
"What is the currency of Japan?","Yen","Won","Dollar","Euro","A","Yen is the currency used in Japan."
"What is the longest bone in the human body?","Humerus","Femur","Tibia","Fibula","B","The femur is the longest bone in the human body."
"What year did World War II end?","1945","1940","1939","1950","A","World War II ended in the year 1945."
"What is the main ingredient in pasta?","Rice","Wheat","Corn","Barley","B","Wheat is the main ingredient in pasta."
"What is the capital of Egypt?","Cairo","Alexandria","Giza","Luxor","A","Cairo is the capital city of Egypt."
"What is a group of wolves called?","Pack","Flock","Herd","School","A","A group of wolves is called a pack."
"Which planet is known for its Great Red Spot?","Mercury","Venus","Saturn","Jupiter","D","Jupiter is known for its Great Red Spot."
"Who discovered penicillin?","Fleming","Pasteur","Lister","Hodgkin","A","Alexander Fleming discovered penicillin."
"What is the most widely spoken language in the world?","Arabic","English","Mandarin","Spanish","C","Mandarin is the most widely spoken language in the world."
